epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,265.459,0.83344,0.80351,0.96028,0.55014,0.49552,0.54592,0.37458,1.22359,1.77683,1.1481,0.000396265,0.000396265,0.000396265
43,272.065,0.82294,0.76755,0.96554,0.56868,0.59431,0.61214,0.42832,1.2027,1.4915,1.13334,0.000389661,0.000389661,0.000389661
44,278.698,0.80651,0.75224,0.95087,0.58119,0.58483,0.60757,0.41864,1.22869,1.54302,1.15883,0.000383058,0.000383058,0.000383058
45,285.338,0.81602,0.76429,0.95928,0.56727,0.57986,0.60019,0.41473,1.20958,1.5884,1.15867,0.000376455,0.000376455,0.000376455
46,291.919,0.82098,0.76568,0.95599,0.5595,0.58512,0.61964,0.42732,1.1985,1.44126,1.1398,0.000369851,0.000369851,0.000369851
47,298.518,0.8415,0.74494,0.96251,0.51813,0.5876,0.58103,0.40592,1.19238,1.6372,1.14386,0.000363248,0.000363248,0.000363248
48,305.338,0.79138,0.73695,0.9428,0.57699,0.60885,0.62063,0.42894,1.19085,1.37964,1.15138,0.000356645,0.000356645,0.000356645
49,312.066,0.80326,0.74884,0.95404,0.58141,0.55419,0.61661,0.42737,1.19918,1.4586,1.15865,0.000350042,0.000350042,0.000350042
50,2946.31,0.82149,0.79068,0.95849,0.46645,0.52094,0.50691,0.35308,1.23052,1.95459,1.16972,0.000343438,0.000343438,0.000343438
51,2950.05,0.79022,0.74652,0.95169,0.55206,0.55457,0.57244,0.38923,1.23491,1.73578,1.16945,0.000336835,0.000336835,0.000336835
52,2956.32,0.80607,0.72957,0.95214,0.54032,0.58553,0.56563,0.38914,1.24116,1.67989,1.175,0.000330232,0.000330232,0.000330232
53,2962.4,0.81621,0.71399,0.95477,0.5689,0.55532,0.59577,0.4076,1.22803,1.52859,1.18086,0.000323628,0.000323628,0.000323628
54,2968.57,0.77786,0.69364,0.9391,0.54774,0.47944,0.56245,0.39916,1.20376,1.81726,1.13763,0.000317025,0.000317025,0.000317025
55,2974.73,0.78461,0.70353,0.95033,0.54491,0.52026,0.56567,0.39627,1.18765,1.72996,1.15403,0.000310422,0.000310422,0.000310422
56,2980.88,0.79692,0.70939,0.9478,0.56494,0.56015,0.60361,0.4185,1.21071,1.61335,1.16267,0.000303818,0.000303818,0.000303818
57,2986.99,0.7769,0.7046,0.93891,0.54129,0.59617,0.59802,0.41009,1.22278,1.62685,1.17798,0.000297215,0.000297215,0.000297215
58,2993.11,0.76033,0.68566,0.94629,0.57637,0.58144,0.60871,0.42568,1.22566,1.57108,1.18669,0.000290612,0.000290612,0.000290612
59,2999.22,0.7604,0.69085,0.93635,0.51645,0.5652,0.55471,0.38785,1.23409,1.73726,1.17534,0.000284009,0.000284009,0.000284009
60,3005.34,0.82836,0.69844,0.95476,0.54256,0.55866,0.58315,0.40811,1.21891,1.60173,1.17388,0.000277405,0.000277405,0.000277405
61,3011.4,0.76112,0.68017,0.946,0.56923,0.58206,0.58198,0.41223,1.20625,1.65673,1.1586,0.000270802,0.000270802,0.000270802
62,3017.57,0.75238,0.6707,0.9349,0.52394,0.56227,0.57759,0.40744,1.19461,1.7107,1.14421,0.000264199,0.000264199,0.000264199
63,3023.75,0.7756,0.64593,0.93339,0.52288,0.55728,0.55727,0.38794,1.20194,1.86631,1.14001,0.000257595,0.000257595,0.000257595
64,3029.87,0.77812,0.68094,0.93733,0.59249,0.68768,0.67473,0.47194,1.22615,1.17224,1.1796,0.000250992,0.000250992,0.000250992
65,3035.98,0.75369,0.65448,0.94246,0.54385,0.64481,0.64474,0.4577,1.20891,1.34817,1.13951,0.000244389,0.000244389,0.000244389
66,3042.21,0.75297,0.64858,0.93581,0.57086,0.58755,0.61232,0.42835,1.21473,1.55784,1.14094,0.000237785,0.000237785,0.000237785
67,3048.46,0.76865,0.64474,0.93667,0.51693,0.50389,0.54498,0.38131,1.21613,1.99897,1.1606,0.000231182,0.000231182,0.000231182
68,3054.67,0.73268,0.65178,0.93328,0.54903,0.60909,0.62532,0.4443,1.22816,1.5119,1.17166,0.000224579,0.000224579,0.000224579
69,3061.14,0.76127,0.66413,0.93842,0.54727,0.55036,0.60339,0.42478,1.21228,1.63865,1.16302,0.000217976,0.000217976,0.000217976
70,3067.36,0.75676,0.6397,0.92917,0.57263,0.49052,0.54904,0.37834,1.21037,1.78996,1.1733,0.000211372,0.000211372,0.000211372
71,3073.49,0.74563,0.70976,0.93416,0.52376,0.49627,0.54343,0.37122,1.2405,1.85047,1.20718,0.000204769,0.000204769,0.000204769
72,3079.72,0.75796,0.65389,0.92979,0.47556,0.52679,0.55754,0.38551,1.23019,1.75985,1.18165,0.000198166,0.000198166,0.000198166
73,3085.85,0.73968,0.62031,0.93193,0.5514,0.67366,0.65428,0.46988,1.21294,1.29256,1.1749,0.000191562,0.000191562,0.000191562
74,3092.06,0.73194,0.61196,0.92805,0.53912,0.58134,0.60679,0.43505,1.22251,1.63351,1.17781,0.000184959,0.000184959,0.000184959
75,3098.24,0.72637,0.61672,0.92608,0.49523,0.55118,0.5727,0.40391,1.21098,1.86893,1.15666,0.000178356,0.000178356,0.000178356
76,3104.47,0.75623,0.66493,0.95101,0.55286,0.62278,0.6154,0.43518,1.20806,1.58031,1.15859,0.000171752,0.000171752,0.000171752
77,3110.67,0.71558,0.59507,0.9243,0.48528,0.56425,0.56049,0.40681,1.21531,1.7681,1.15492,0.000165149,0.000165149,0.000165149
78,3116.93,0.7297,0.59374,0.93656,0.56795,0.4722,0.5501,0.38785,1.2032,1.85834,1.15231,0.000158546,0.000158546,0.000158546
79,3123.11,0.75799,0.62245,0.93242,0.52254,0.49307,0.55826,0.38741,1.19894,1.91111,1.14079,0.000151943,0.000151943,0.000151943
80,3129.28,0.71103,0.5914,0.91973,0.59114,0.47251,0.60238,0.42823,1.19316,1.77345,1.13676,0.000145339,0.000145339,0.000145339
81,3135.49,0.7404,0.59394,0.92192,0.55912,0.49338,0.60288,0.42556,1.20465,1.76513,1.18005,0.000138736,0.000138736,0.000138736
82,3141.69,0.72631,0.62801,0.91992,0.59115,0.54845,0.63026,0.44686,1.20843,1.6068,1.18574,0.000132133,0.000132133,0.000132133
83,3147.92,0.70472,0.59055,0.93773,0.51813,0.57386,0.61054,0.43077,1.22162,1.66374,1.17962,0.000125529,0.000125529,0.000125529
84,3154.16,0.7293,0.60114,0.93043,0.53798,0.47818,0.55876,0.39721,1.20107,1.9157,1.15486,0.000118926,0.000118926,0.000118926
85,3160.42,0.71471,0.59192,0.915,0.5396,0.51523,0.56806,0.40848,1.18924,1.83434,1.13739,0.000112323,0.000112323,0.000112323
86,3166.68,0.70972,0.58683,0.91605,0.54956,0.52185,0.59708,0.4282,1.20909,1.69486,1.16015,0.00010572,0.00010572,0.00010572
